날짜,팀,선수,일수,포지션
2022-04-13,KIA,김호령,30,외야수
2022-04-15,KIA,고종욱,30,외야수
2022-04-19,KIA,김태진,10,내야수
2022-04-22,KIA,박찬호,10,내야수
2022-04-29,KIA,유승철,10,투수
2022-06-10,KIA,이준영,10,투수
2022-06-30,KIA,장현식,10,투수
2022-07-09,KIA,박동원,10,포수
2022-07-29,KIA,장현식,10,투수
2022-07-31,KIA,전상현,10,투수
2022-08-08,KIA,장현식,10,투수
2022-08-10,KIA,전상현,10,투수
2022-08-11,KIA,정해영,10,투수
2022-08-20,KIA,전상현,10,투수
2022-09-02,KIA,이의리,10,투수
2022-09-14,KIA,황대인,10,내야수
2022-09-22,KIA,윤중현,10,투수
2023-04-03,KIA,김도영,30,내야수
2022-06-24,KT,조용호,10,외야수
2022-06-30,KT,배제성,10,투수
2022-07-02,KT,강백호,30,내야수
2022-07-12,KT,배제성,10,투수
2022-07-17,KT,심우준,10,내야수
2022-07-22,KT,배제성,10,투수
2022-07-27,KT,오윤석,10,내야수
2022-07-31,KT,문상철,10,외야수
2022-08-04,KT,김태오,15,투수
2022-08-06,KT,오윤석,10,내야수
2022-08-09,KT,소형준,10,투수
2022-08-10,KT,문상철,10,외야수
2022-08-20,KT,장성우,10,포수
2022-09-11,KT,박병호,15,내야수
2023-04-04,KT,소형준,15,투수
2023-04-05,KT,엄상백,10,투수
2023-04-15,KT,황재균,10,내야수
2023-04-30,KT,박병호,10,내야수
2023-05-04,KT,오윤석,10,내야수
2023-05-06,KT,김민혁,10,외야수
2023-05-09,KT,황재균,10,내야수
2023-05-18,KT,조용호,15,외야수
2023-05-24,KT,조현우,15,투수
2023-05-24,KT,김준태,30,포수
2022-04-06,LG,채은성,10,외야수
2022-05-02,LG,임찬규,10,투수
2022-05-10,LG,문성주,10,외야수
2022-05-19,LG,이우찬,10,투수
2022-05-26,LG,임찬규,10,투수
2022-06-04,LG,서건창,10,내야수
2022-06-05,LG,임찬규,10,투수
2022-06-14,LG,서건창,10,내야수
2022-06-27,LG,홍창기,10,외야수
2022-07-07,LG,홍창기,10,외야수
2022-07-17,LG,홍창기,10,외야수
2022-07-24,LG,손호영,30,내야수
2022-09-27,LG,이형종,10,외야수
2022-09-30,LG,최성훈,10,투수
2022-10-04,LG,문성주,10,외야수
2023-04-03,LG,김주성,10,내야수
2023-04-10,LG,백승현,30,투수
2023-04-10,LG,이민호,30,투수
2023-04-17,LG,김주성,10,내야수
2023-05-02,LG,고우석,10,투수
2023-05-12,LG,고우석,10,투수
2023-05-20,LG,이정용,10,투수
2023-05-22,LG,고우석,10,투수
2023-05-25,LG,이재원,15,내야수
2023-05-30,LG,이정용,10,투수
2022-04-03,NC,최승민,10,외야수
2022-04-20,NC,이재학,10,투수
2022-04-30,NC,김기환,10,외야수
2022-05-08,NC,권희동,15,외야수
2022-05-17,NC,박준영,15,내야수
2022-05-28,NC,도태훈,15,내야수
2022-06-01,NC,박건우,15,외야수
2022-06-04,NC,노진혁,10,내야수
2022-07-13,NC,김영규,10,투수
2022-07-13,NC,박준영,10,내야수
2022-07-24,NC,오영수,15,내야수
2022-07-28,NC,박석민,30,내야수
2022-08-13,NC,김진호,10,투수
2022-08-14,NC,김기환,10,외야수
2023-04-06,NC,김성욱,10,외야수
2023-04-15,NC,박세혁,10,포수
2023-04-16,NC,서호철,10,내야수
2023-04-30,NC,류진욱,10,투수
2023-04-30,NC,이용찬,10,투수
2023-05-10,NC,류진욱,10,투수
2023-05-18,NC,구창모,10,투수
2023-05-18,NC,김영규,10,투수
2023-05-20,NC,오영수,10,내야수
2023-05-22,NC,김한별,10,내야수
2023-05-22,NC,김진호,30,투수
2022-04-29,SSG,노경은,30,투수
2022-05-17,SSG,김택형,10,투수
2022-06-22,SSG,고효준,30,투수
2022-08-29,SSG,김상수,30,투수
2023-04-09,SSG,김광현,10,투수
2023-04-29,SSG,최지훈,10,외야수
