Name,Injury
¿”¬˘±‘,"['Back tightness', 'Knee contusion' ,'Sprained elbow']"
¿ÃøÏ¬˘,['Elbow tendinitis']
√÷º∫»∆,['Flexor tendon surgery']
πÈΩ¬«ˆ,['Strained oblique']
¿ÃπŒ»£,['Elbow inflammation']
∞ÌøÏºÆ,"['Shoulder inflammation','Shoulder discomfort']"
¿Ã¡§øÎ,"['Shoulder inflammation','Shoulder discomfort']"
Carlos Rod√≥n,"['Tommy John surgery', 'Shoulder soreness']"
Zack Littell,"['Strained hamstring', 'Elbow inflammation']"
Yonny Chirinos,"['Triceps inflammation', 'Tommy John surgery']"
Joely Rodr√≠guez,"['Strained lat', 'Strained hamstring', 'Strained oblique', 'Shoulder inflammation']"
Ken Giles,"['Elbow discomfort', 'Tommy John surgery', 'Finger discomfort', 'Shoulder discomfort']"
Trent Thornton,"['Elbow inflammation', 'Elbow surgery (loose bodies)']"
Cole Hamels,"['Triceps tendinitis', 'Shoulder fatigue']"
Jos√© Quintana,"['Thumb surgery (laceration)', 'Strained lat']"
Tyler Chatwood,"['Back tightness', 'Strained forearm']"
Wade Miley,"['Strained groin', 'Strained shoulder', 'Elbow inflammation', 'Strained shoulder', 'Strained shoulder']"
Brad Peacock,"['Shoulder soreness', 'Arthroscopic shoulder surgery']"
Chris Devenski,"['Elbow soreness', 'Arthroscopic elbow surgery']"
Sean Doolittle,"['Knee inflammation', 'Strained oblique']"
Kyle Crick,"['Strained lat', 'Strained lat']"
Sam Coonrod,"['Strained lat', 'Strained shoulder']"
Tony Watson,"['Strained calf', 'Strained shoulder']"
Junior Guerra,"['Strained groin', 'Strained hamstring']"
Hunter Harvey,"['Strained oblique', 'Strained lat']"
Tyler Wells,"['Wrist tendinitis', 'Shoulder inflammation', 'Strained oblique', 'Shoulder inflammation']"
Tanner Scott,"['Knee discomfort', 'Sprained knee']"
Lance Lynn,"['Strained back (trapezius)', 'Knee inflammation']"
Ryan Tepera,"['Finger laceration', 'Strained calf']"
Derek Holland,"['Strained shoulder', 'Shoulder inflammation']"
Jos√© Ure√±a,"['Strained forearm', 'Strained groin']"
