선수ID,등번호,선수명,선수명_영문,포지션,투타,생년월일,신장,체중,이력,선수경력,연봉
P0059,59,강효종,KANG HYO JONG,투수,우투우타,2002-10-14,184cm,86kg,일산서구-저동초-충암중-충암고,2021,3300만원
P0019,19,고우석,GO WOO SUK,투수,우투우타,1998-08-06,182cm,90kg,갈산초-양천중-충암고,2017,43000만원
P0034,34,김대현,KIM DAE HYUN,투수,우투우타,1997-03-08,188cm,100kg,마포리틀-홍연초-홍은중-선린인터넷고,2016,6200만원
P0064,64,김동규,KIM DONG KYU,투수,우투우타,2004-07-09,195cm,100kg,청구초-영남중-성남고,2023,3000만원
P0035,35,김영준,KIM YOUNG JUN,투수,우투우타,1999-01-12,185cm,89kg,인천연학초-선린중-선린인터넷고,2018,3800만원
P0000,0,김유영,KIM YU YEONG,투수,좌투좌타,1994-05-02,180cm,83kg,양정초-개성중-경남고,2023,9500만원
P0047,47,김윤식,KIM YUN SIK,투수,좌투좌타,2000-04-03,181cm,83kg,광주서석초-광주무등중-광주진흥고,2020,15000만원
P0040,40,김주완,KIM JU WAN,투수,좌투좌타,2003-08-27,189cm,96kg,감천초-대동중-경남고,2022,3100만원
P0042,42,김진성,KIM JIN SUNG,투수,우투우타,1985-03-07,186cm,92kg,인헌초-성남중-성남서고,2023,20000만원
P0025,25,김진수,KIM JIN SU,투수,우투우타,1998-08-31,179cm,82kg,이세초-군산중-군산상고-중앙대,2021,20000만원
P0039,39,박명근,PARK MYUNG GEUN,투수,우투우타,2004-03-27,174cm,75kg,구리리틀-수택초-인창중-라온고,2023,3000만원
P0036,36,배재준,BAE JAE JUNE,투수,우투우타,1994-11-24,188cm,80kg,대구본리초-경상중-상원고,2013,7500만원
P0061,61,백승현,BAEK SEUNG HYEON,투수,우투우타,1995-05-26,183cm,78kg,소래초-상인천중-인천고,2015,4600만원
P0058,58,성동현,SUNG DONG HYUN,투수,우투우타,1999-05-18,189cm,108kg,백마초-홍은중-장충고,2018,3100만원
P0029,29,손주영,SON JU YOUNG,투수,좌투좌타,1998-12-02,191cm,95kg,울산대현초-부산개성중-경남고,2017,4100만원
P0046,46,송은범,SONG EUN BEOM,투수,우투우타,1984-03-17,182cm,93kg,서흥초-동산중-동산고,2019,14000만원
P0054,54,유영찬,YOU YOUNG CHAN,투수,우투우타,1997-03-07,185cm,90kg,안산리틀-안산덕성초-배명중-배명고-건국대,2020,3100만원
P0028,28,윤호솔,YOON HO SOL,투수,우투우타,1994-07-15,183cm,99kg,온양온천초-온양중-천안북일고,2023,8700만원
P0026,26,이민호,LEE MIN HO,투수,우투우타,2001-08-30,189cm,93kg,학동초-대치중-휘문고,2020,14000만원
P0048,48,이상규,LEE SANG KYU,투수,우투우타,1996-10-20,185cm,77kg,흥인초-청원중-청원고,2015,3600만원
P0055,55,이상영,LEE SANG YUNG,투수,좌투좌타,2000-12-03,193cm,88kg,부산수영초-개성중-부산고,2019,5000만원
P0037,37,이우찬,LEE WOO CHAN,투수,좌투좌타,1992-08-04,183cm,88kg,온양온천초-온양중-북일고,2011,12000만원
P0031,31,이정용,YI JUNG YONG,투수,우투우타,1996-03-26,186cm,85kg,영일초-성남중-성남고-동아대,2019,24000만원
P0050,50,이지강,LEE JI GANG,투수,우투우타,1999-07-02,183cm,85kg,수원선일초-수원북중-소래고,2019,3600만원
P0020,20,임정우,LIM JUNG WOO,투수,우투우타,1991-04-02,183cm,77kg,도곡초-영동중-서울고,2012,4000만원
P0001,1,임찬규,IM CHAN KYU,투수,우투우타,1992-11-20,185cm,80kg,가동초-청원중-휘문고,2011,17000만원
P0018,18,정우영,JUNG WOO YOUNG,투수,우투우타,1999-08-19,193cm,85kg,가평초-강남중-서울고,2019,40000만원
P0049,49,조원태,CHO WON TAE,투수,좌투좌타,2003-05-10,186cm,92kg,토성초-건대부중-선린인터넷고,2022,3300만원
P0021,21,진해수,JIN HAE SOO,투수,좌투좌타,1986-06-26,187cm,85kg,동삼초-경남중-부경고,2015,25000만원
P0043,43,채지선,CHAE JI SEON,투수,우투좌타,1995-07-11,180cm,70kg,학강초-동성중-광주제일고,2021,3800만원
P0013,13,최동환,CHOI DONG HWAN,투수,우투우타,1989-09-19,184cm,83kg,인헌초-선린중-경동고,2009,10500만원
P0056,56,최성훈,CHOI SUNG HOON,투수,좌투좌타,1989-10-11,178cm,75kg,가동초-잠신중-경기고-경희대,2012,13000만원
P0003,3,켈리,CASEY KELLY,투수,우투우타,1989-10-04,191cm,98kg,사라소타,2019,1050000달러
P0045,45,플럿코,ADAM PLUTKO,투수,우투우타,1991-10-03,190cm,95kg,UCLA,2022,800000달러
P0011,11,함덕주,HAM DEOK JU,투수,좌투좌타,1995-01-13,181cm,78kg,일산초-원주중-원주고,2021,10000만원
M7020,M,이지훈,LEE JI HOON,투수,우투우타,2003-03-04,188cm,92kg,대지초-매송중-야탑고,2022,-
M7341,M,최용하,CHOI YONG HA,투수,우투우타,2002-11-29,183cm,84kg,응암초-동도중-서울디자인고,2022,-
M3014,M,허준혁,HEO JUN HYUK,투수,우투우타,1999-07-02,180cm,85kg,가평초-영동중-경기고-한일장신대,2022,-
M2900,M,송승기,SONG SEUNG KI,투수,좌투좌타,2002-04-10,181cm,90kg,삼일초-매향중-야탑고,2021,-
M9544,M,임준형,LIM JUN HYEUNG,투수,좌투좌타,2000-11-16,180cm,82kg,서석초-진흥중-진흥고,2019,-
