time,x,y,z,phi,theta,psi
0,0.6472168,0.1918945,0.7514648,-0.1111775,-0.3090978,0.1417207
0.05000305,0.5129395,0.1950684,0.7788086,-0.1808161,-0.3872886,-0.1747075
0.1000061,0.5881348,0.1552734,0.8549805,-0.0006108652,0.6236934,-0.09162979
0.1500092,0.5822754,0.1599121,0.7939453,-0.02199115,0.471588,-0.0561996
0.2000122,0.6286621,0.1682129,0.8188477,-0.03787364,0.2516765,-0.002443461
0.2500153,0.4750977,0.1665039,0.7895508,0.02565634,0.1869248,-0.07269296
0.3000183,0.6027832,0.145752,0.8225098,0.003054326,-0.02748894,-0.1331686
0.3500214,0.4155273,0.1779785,0.8359374,0.07269296,0.516792,-0.02748894
0.4000244,0.5456543,0.1635742,0.8774414,0.01466077,0.2816089,-0.1826487
0.4500275,0.4931641,0.1665039,0.8789063,0.05925393,0.1032362,-0.02076942
0.5000305,0.3962402,0.1723633,0.8115234,0.1062905,0.6823364,0.05375614
0.5500336,0.7004395,0.1828613,0.9909667,0.03909538,-0.3811799,-0.4691445
0.6000366,0.4523926,0.1538086,0.8103027,-0.02260201,0.3365867,0.340252
0.6500397,0.6027832,0.1975098,0.8410645,0.1447751,0.2333505,-0.2956588
0.7000427,0.7001953,0.203125,0.907959,0.05070182,-0.4178318,0.08246681
0.7500458,0.4621582,0.2138672,0.8723145,0.08307768,0.2394592,0.2125811
0.8000488,0.5778809,0.2473145,0.8596191,0.185703,0.2779437,0.09957103
0.8500519,0.5827637,0.2121582,0.920166,0.1136209,-0.9340129,0.05375614
0.9000549,0.376709,0.2312012,0.8322754,0.1600467,-0.2547308,0.3378085
0.950058,0.451416,0.2097168,0.8437499,0.4117232,0.4917465,0.1123992
1.000061,0.4812012,0.1708984,0.8181152,0.06902777,-0.4312709,0.1936443
1.050064,0.3300781,0.2346191,0.9033203,0.2168572,-0.02871067,0.03298672
1.100067,0.5390625,0.2150879,0.8469238,0.1863139,-0.001832596,-0.00122173
1.15007,0.4951172,0.2087402,0.854248,0.1227839,-0.4612032,0.1441642
1.200073,0.4074707,0.2275391,0.8693848,0.1007928,-0.3469715,0.1093449
1.250076,0.5075684,0.2324219,0.8393554,0.08735373,-0.0983493,0.01160644
1.300079,0.5241699,0.2429199,0.8286132,0.07880162,-0.02199115,0.04337143
1.350082,0.4909668,0.2478027,0.8400879,0.05375614,-0.05497787,-0.01893682
1.400085,0.5424805,0.2243652,0.8459473,0.006108652,-0.2541199,-0.05009095
1.450089,0.5412598,0.2441406,0.7956543,-0.04703663,-0.3720169,-0.05436701
1.500092,0.5241699,0.2561035,0.7946777,-0.02565634,-0.226631,-0.03787364
1.550095,0.6586914,0.2324219,0.8867188,-0.1123992,-0.3518584,-0.09651671
1.600098,0.5522461,0.2392578,0.8068848,-0.04642576,-0.2559525,0.03726278
1.650101,0.5395508,0.2575684,0.7722168,0.01099557,-0.03604105,0.004276057
1.700104,0.5266113,0.2575684,0.7766113,0.03298672,0.131336,-0.0280998
1.750107,0.5981445,0.2580566,0.7736816,0.01832596,-0.1117883,0.0140499
1.80011,0.5314941,0.2524414,0.7626953,0.02932153,-0.08796459,-0.01343904
1.850113,0.6013184,0.2519531,0.7924805,0.0299324,-0.158825,-0.03543019
1.900116,0.5446777,0.2651367,0.7692871,0.02565634,-0.09040806,0.01954769
1.950119,0.6149902,0.2590332,0.7854004,0.01832596,-0.08674286,0.04581489
2.000122,0.5375977,0.255127,0.7646484,0.02504547,0.01649336,0.06475171
2.050125,0.640625,0.2685547,0.7712402,0.02443461,0.0299324,0.05864307
2.100128,0.564209,0.253418,0.7685547,0.00122173,-0.1264491,0.07574729
2.150131,0.6115723,0.2509766,0.777832,-0.01160644,-0.1240056,0.05558874
2.200134,0.5473633,0.2524414,0.7634277,-0.003054326,-0.02687807,0.05314527
2.250137,0.4116211,0.3342285,0.7922363,0.2590069,0.4691445,-0.2651155
2.30014,1.084473,0.09863281,0.6616211,-0.140499,-0.2803871,0.2278527
2.350143,0.3874511,0.2624512,0.7561035,0.02626721,0.06719518,-0.1209513
2.400146,0.4709472,0.2670898,0.795166,0.158825,0.9560041,-0.02015855
2.45015,0.6887207,0.2404785,0.8339843,0.07269296,0.1954769,0.06963864
2.500153,0.5358887,0.2478027,0.8205566,-0.0421497,-0.5626069,0.06780604
2.550156,0.519043,0.244873,0.8029785,-0.04886922,-0.5943719,-0.09773844
2.600159,0.5710449,0.2617188,0.7973633,-0.009773844,-0.3500258,-0.09285152
2.650162,0.5512695,0.2595215,0.815918,-0.006108652,0.1081231,0.1014036
2.700165,0.5727539,0.2397461,0.807373,-0.04276057,0.06658431,0.05742133
2.750168,0.4936523,0.2519531,0.7641602,-0.06352998,0.06963864,0.06352998
2.800171,0.598877,0.2453613,0.7907715,-0.05742133,0.03909538,0.08552113
2.850174,0.5512695,0.2246094,0.7739258,-0.06352998,-0.1960877,0.03115413
2.900177,0.5112305,0.2475586,0.7729492,-0.03848451,-0.1117883,-0.02626721
2.95018,0.5541992,0.2404785,0.784668,0.004276057,0.03604105,-0.07696902
3.000183,0.5725098,0.2358398,0.7783203,-0.00122173,0.08246681,-0.04764749
3.050186,0.5615234,0.2380371,0.7814941,-0.008552114,0.02260201,-0.0122173
3.100189,0.5412598,0.2497559,0.7817383,0.007941248,0.06291912,-0.003054326
3.150192,0.5634766,0.2358398,0.7788086,-0.0006108652,-0.01038471,-0.01282817
3.200195,0.5380859,0.2539063,0.7958984,0.004886922,-0.01343904,-0.03237586
3.250198,0.5817871,0.2431641,0.7912598,-0.007330383,-0.04581489,-0.01343904
3.300201,0.5490723,0.244873,0.782959,-0.004886922,-0.008552114,-0.01038471
3.350204,0.5722656,0.2468262,0.7895508,0.01160644,0.06108652,-0.004276057
3.400208,0.560791,0.2373047,0.7954102,0.001832596,-0.03726278,0.01710423
3.450211,0.5380859,0.2490234,0.769043,0.04581489,0.1453859,0.008552114
3.500214,0.5698242,0.2312012,0.795166,0.03481932,-0.001832596,0.004886922
3.550217,0.5432129,0.2436523,0.7819824,0.05558874,0.01527163,0.0140499
3.60022,0.560791,0.2468262,0.8022461,0.05009095,-0.08796459,0.003665192
3.650223,0.5351563,0.2421875,0.7932129,0.07880162,0.05742133,0.01954769
3.700226,0.5551758,0.2565918,0.7766113,0.09224065,0.06352998,0.01282817
3.750229,0.5332031,0.2573242,0.7976074,0.086132,0.08246681,0.03726278
3.800232,0.5419922,0.2624512,0.7961426,0.08979719,0.1350012,0.04337143
3.850235,0.5366211,0.2612305,0.7849121,0.1142318,0.1148427,0.04276057
3.900238,0.5402832,0.269043,0.7944336,0.1203405,0.1356121,0.05436701
3.950241,0.5429688,0.2783203,0.8017578,0.1154535,0.03115413,0.0561996
4.000244,0.5231934,0.2719727,0.8098145,0.09468412,0.004276057,0.0439823
4.050247,0.529541,0.2687988,0.8012695,0.05986479,-0.02626721,0.06536258
4.10025,0.5234375,0.2722168,0.8032227,0.04886922,-0.02748894,0.04948008
4.150253,0.5288086,0.2687988,0.798584,0.02932153,-0.06108652,0.04764749
4.200256,0.5192871,0.2731934,0.8017578,0.03420845,-0.03176499,0.02504547
4.250259,0.5327148,0.267334,0.802002,0.02382374,-0.1032362,0.01343904
4.300262,0.5095215,0.2712402,0.7958984,0.02076942,-0.007941248,0.03176499
4.350266,0.5388184,0.270752,0.7949219,0.01527163,-0.006719518,0.02443461
4.400269,0.5239258,0.2697754,0.795166,0.02138028,-0.02504547,0.004276057
4.450272,0.5349121,0.2727051,0.7941895,0.02504547,-0.02138028,-0.02626721
4.500275,0.5317383,0.2763672,0.8081055,0.02565634,-0.02748894,-0.01343904
4.550278,0.5229492,0.2595215,0.7897949,0.0140499,0.009773844,0.002443461
4.600281,0.5249023,0.2709961,0.7861328,0.01282817,0.03787364,-0.01343904
4.650284,0.5126953,0.2802734,0.7817383,0.01710423,-0.006108652,-0.05925393
4.700287,0.5598145,0.2719727,0.7880859,0.01771509,-0.08124508,-0.04703663
4.75029,0.5266113,0.298584,0.8005371,0.03481932,-0.01893682,-0.06291912
4.800293,0.5505371,0.2915039,0.7834473,0.03787364,0.02138028,-0.009773844
4.850296,0.5454102,0.2919922,0.7956543,0.02871067,-0.1478294,0.0006108652
4.900299,0.5422363,0.2849121,0.7922363,0.02748894,-0.185703,0.003665192
4.950302,0.5568848,0.293457,0.7858887,0.006108652,-0.1020145,-0.0122173
5.000305,0.564209,0.2885742,0.7775879,-0.006719518,-0.1771509,0.01893682
5.050308,0.5527344,0.2841797,0.7814941,-0.02076942,-0.1826487,0.002443461
5.100311,0.5605469,0.2839355,0.7521973,-0.02260201,-0.1191187,0.007330383
5.150314,0.5537109,0.2885742,0.7556152,-0.0158825,-0.1386664,-0.01771509
5.200317,0.5698242,0.2856445,0.7580566,-0.01038471,-0.09346239,-0.009773844
5.25032,0.5725098,0.2753906,0.7612305,-0.01099557,-0.1001819,-0.03176499
5.300323,0.5786133,0.2856445,0.7521973,-0.001832596,-0.05009095,-0.01832596
5.350327,0.583252,0.282959,0.746582,0.01038471,-0.03481932,-0.006719518
5.40033,0.5561523,0.2841797,0.7453613,0.02321288,0.08246681,-0.03604105
5.450333,0.5979004,0.2875977,0.7512207,0.04092797,-0.03909538,-0.0140499
5.500336,0.5627441,0.2905273,0.7507324,0.0439823,-0.02871067,-0.04153884
5.550339,0.5754395,0.291748,0.7509766,0.05436701,-0.006719518,-0.01343904
5.600342,0.5644531,0.2924805,0.7507324,0.05497787,0.008552114,-0.04276057
5.650345,0.574707,0.2912598,0.7705078,0.03604105,-0.08063421,-0.03543019
5.700348,0.5634766,0.2939453,0.7578125,0.02382374,-0.01343904,-0.06291912
5.750351,0.5849609,0.3059082,0.7561035,0.003665192,0.006719518,-0.03970624
5.800354,0.5673828,0.3112793,0.753418,-0.01282817,-0.004886922,-0.04764749
5.850357,0.5893555,0.3017578,0.7558594,-0.007941248,-0.01771509,-0.02687807
5.90036,0.5698242,0.3012695,0.7587891,-0.003054326,0.03604105,-0.04459316
5.950363,0.5830078,0.307373,0.7441406,0.02748894,0.1026254,-0.02443461
6.000366,0.5805664,0.3051758,0.7531738,0.03420845,0.04764749,-0.01954769
6.050369,0.5627441,0.3278809,0.7773438,0.04031711,-0.06475171,-0.01832596
6.100372,0.5605469,0.3132324,0.7497559,0.03115413,0.007941248,-0.02504547
6.150375,0.5646973,0.3227539,0.7509766,0.02199115,0.01527163,-0.01954769
6.200378,0.5649414,0.314209,0.7568359,0.02687807,0.07391469,-0.04031711
6.250381,0.5905762,0.3193359,0.7797852,0.03237586,0.009162978,-0.02260201
6.300385,0.5888672,0.2807617,0.8056641,0.02932153,0.05925393,0.003054326
6.350388,0.5830078,0.4089355,0.744873,0.09896017,0.1661554,0.01466077
6.400391,0.5783691,0.2470703,0.7402344,0.02382374,-0.185703,0.03420845
6.450394,0.4682617,0.3679199,0.7463379,-0.01282817,-0.204029,-0.06475171
