time,x,y,z,x^,y^,z^,x^^,y^^,z^^,phi,theta,psi,phi^,theta^,psi^,phi^^,theta^^,psi^^
0,0.6472168,0.1918945,0.7514648,,,,,,,-0.1111775,-0.3090978,0.1417207,,,,,,
0.05000305,0.5129395,0.1950684,0.7788086,-2.685382192,0.063474128,0.546842643,,,,-0.1808161,-0.3872886,-0.1747075,-1.392687046,-1.563720613,-6.328177981,,,
0.1000061,0.5881348,0.1552734,0.8549805,1.503814267,-0.795851453,1.523345076,83.77881867,-17.18546331,19.52885741,-0.000610865,0.6236934,-0.09162979,3.603884859,20.21840668,1.661452851,99.92534266,435.6159732,159.7828699
0.1500092,0.5822754,0.1599121,0.7939453,-0.117180735,0.092768248,-1.220628321,-32.41789013,17.77129221,-54.87606562,-0.02199115,0.471588,-0.0561996,-0.427579186,-3.041919401,0.708559869,-80.6242822,-465.1776805,-19.05667813
0.2000122,0.6286621,0.1682129,0.8188477,0.927678339,0.16600604,0.498018119,20.89592773,1.464667945,34.37086655,-0.03787364,0.2516765,-0.002443461,-0.317630742,-4.397966122,1.075058277,2.198836948,-27.11930726,7.329528373
0.2500153,0.4750977,0.1665039,0.7895508,-3.071097592,-0.034177881,-0.585901674,-79.97056045,-4.0034302,-21.67705188,0.02565634,0.1869248,-0.07269296,1.270520828,-1.294953713,-1.404902876,31.76106221,62.05640069,-49.59614809
0.3000183,0.6027832,0.145752,0.8225098,2.553556787,-0.415013099,0.659140452,112.4863384,-7.61624739,24.89934855,0.003054326,-0.02748894,-0.1331686,-0.452013159,-4.288017519,-1.209440234,-34.44861282,-59.85768466,3.909018308
0.3500214,0.4155273,0.1779785,0.8359374,-3.744885817,0.644490042,0.268535351,-125.9610425,21.18874911,-7.811617695,0.07269296,0.516792,-0.02748894,1.392686333,10.88494393,2.113462165,36.89170257,303.4404157,66.45392784
0.4000244,0.5456543,0.1635742,0.8774414,2.602383857,-0.288068716,0.830030198,126.9377772,-18.65005615,11.22922319,0.01466077,0.2816089,-0.1826487,-1.160574166,-4.703379797,-3.103009019,-51.06214625,-311.7477697,-104.3231643
0.4500275,0.4931641,0.1665039,0.8789063,-1.049738916,0.058590367,0.029296184,-73.03792711,6.932751835,-16.01368744,0.05925393,0.1032362,-0.02076942,0.891807908,-3.567232832,3.237384882,41.04509667,22.72153058,126.8000164
0.5000305,0.3962402,0.1723633,0.8115234,-1.938361698,0.117180969,-1.347577145,-17.77138936,1.17174173,-27.53581443,0.1062905,0.6823364,0.05375614,0.94067496,11.58130912,1.490421775,0.977282395,302.9526619,-34.93716592
0.5500336,0.7004395,0.1828613,0.9909667,6.083608816,0.209946983,3.588643504,160.4294637,1.85520526,98.71829246,0.03909538,-0.3811799,-0.4691445,-1.343819083,-21.26900732,-10.45736444,-45.68704826,-656.965597,-238.94091
0.6000366,0.4523926,0.1538086,0.8103027,-4.960640362,-0.581019139,-3.613063216,-220.8717313,-15.81837334,-144.0254929,-0.02260201,0.3365867,0.340252,-1.233873768,14.35447073,16.18695878,2.198774386,712.4268155,532.8544932
0.6500397,0.6027832,0.1975098,0.8410645,3.007625527,0.873969814,0.615197858,159.3554377,29.09797498,84.55997876,0.1447751,0.2333505,-0.2956588,3.347334665,-2.064595995,-12.71742752,91.61848831,-328.3609762,-578.0518868
0.7000427,0.7001953,0.203125,0.907959,1.948125112,0.112297262,1.337809731,-21.18873697,-15.23253708,14.45137039,0.05070182,-0.4178318,0.08246681,-1.881352719,-13.02286463,7.562058476,-104.5674736,-219.1522235,405.565386
0.7500458,0.4621582,0.2138672,0.8723145,-4.760446852,0.21483068,-0.712845804,-134.1631212,2.050541233,-41.01056804,0.08307768,0.2394592,0.2125811,0.647477056,13.14500501,2.602124468,50.57345995,523.3249466,-99.19253023
0.8000488,0.5778809,0.2473145,0.8596191,2.314315141,0.668905866,-0.253892766,141.4867507,9.080958845,9.178510032,0.185703,0.2779437,0.09957103,2.052383257,0.769643821,-2.260065796,28.09643823,-247.4923742,-97.23797101
0.8500519,0.5827637,0.2121582,0.920166,0.097649946,-0.703082409,1.210862926,-44.33055541,-27.43806433,29.29329767,0.1136209,-0.9340129,0.05375614,-1.441552624,-24.23762927,-0.916240993,-69.8743854,-500.1144547,26.87482982
0.9000549,0.376709,0.2312012,0.8322754,-4.120846749,0.38083715,-1.757706538,-84.36487201,21.67709055,-59.36782721,0.1600467,-0.2547308,0.3378085,0.928460292,13.58482691,5.680706358,47.39741448,756.4037393,131.9310312
0.950058,0.451416,0.2097168,0.8437499,1.494047369,-0.429661361,0.229475773,112.2909203,-16.20896526,39.74118225,0.4117232,0.4917465,0.1123992,5.03321794,14.92862043,-4.50790651,82.09006338,26.8742041,-203.7596243
1.000061,0.4812012,0.1708984,0.8181152,0.59566826,-0.776321421,-0.51266324,-17.96650419,-6.932785227,-14.84188974,0.06902777,-0.4312709,0.1936443,-6.85349739,-18.45924045,1.624804512,-237.7200434,-667.7171544,122.6468616
1.050064,0.3300781,0.2346191,0.9033203,-3.022280663,1.27433754,1.70399976,-72.35463718,41.01071857,44.33060017,0.2168572,-0.02871067,0.03298672,2.956411215,8.050721557,-3.212958822,196.1864009,530.16743,-96.74946172
1.100067,0.5390625,0.2150879,0.8469238,4.179437234,-0.390600564,-1.127862328,144.0257164,-33.29676427,-56.63384373,0.1863139,-0.001832596,-0.00122173,-0.61082935,0.537529228,-0.684127952,-71.34053088,-150.2548313,50.57358299
1.15007,0.4951172,0.2087402,0.854248,-0.878853269,-0.126946383,0.146475211,-101.1597405,5.272767249,25.48522168,0.1227839,-0.4612032,0.1441642,-1.270523769,-9.186860868,2.907544147,-13.19309678,-194.4761334,71.82913225
1.200073,0.4074707,0.2275391,0.8693848,-1.752824831,0.375955443,0.302717837,-17.47838253,10.05743307,3.124665029,0.1007928,-0.3469715,0.1093449,-0.439795612,2.28449693,-0.696344219,16.61356631,229.4133912,-72.07344293
1.250076,0.5075684,0.2324219,0.8393554,2.00183389,0.097650141,-0.600551967,75.08866909,-5.565772087,-18.06431222,0.08735373,-0.0983493,0.01160644,-0.268765274,4.972145671,-1.954651921,3.42040154,53.74974984,-25.16464415
1.300079,0.5241699,0.2429199,0.8286132,0.332010079,0.209947403,-0.21483111,-33.39447254,2.245810495,7.713954298,0.07880162,-0.02199115,0.04337143,-0.171031938,1.527071376,0.635261684,1.954549447,-68.89735207,51.79516439
1.350082,0.4909668,0.2478027,0.8400879,-0.664022159,0.097650141,0.229480231,-19.91944959,-2.245810495,8.885693685,0.05375614,-0.05497787,-0.01893682,-0.500879547,-0.659694818,-1.246090235,-6.596556389,-43.73269992,-37.62478089
1.400085,0.5424805,0.2243652,0.8459473,1.030212187,-0.468721877,0.117180969,33.88265396,-11.32676075,-2.24585049,0.006108652,-0.2541199,-0.05009095,-0.952892586,-3.982601644,-0.623045217,-9.039718401,-66.45414926,12.46015274
1.450089,0.5412598,0.2441406,0.7956543,-0.024412047,0.395476362,-1.005779538,-21.09079742,17.28258216,-22.45741354,-0.04703663,-0.3720169,-0.05436701,-1.062820614,-2.35775138,-0.085514359,-2.198384687,32.49440573,10.74975719
1.500092,0.5241699,0.2561035,0.7946777,-0.341777493,0.239243645,-0.019530828,-6.346928111,-3.124466862,19.72379076,-0.02565634,-0.226631,-0.03787364,0.427580145,2.907543547,0.329847609,29.80622682,105.2995806,8.306740955
1.550095,0.6586914,0.2324219,0.8867188,2.690268584,-0.473603584,1.840711557,60.63728331,-14.25608922,37.20261555,-0.1123992,-0.3518584,-0.09651671,-1.734753115,-2.504397736,-1.172791033,-43.24407056,-108.2323317,-30.05096978
1.600098,0.5522461,0.2392578,0.8068848,-2.128778273,0.136709797,-1.596584205,-96.37515463,12.20553529,-68.74179074,-0.04642576,-0.2559525,0.03726278,1.319389637,1.91800292,2.675429274,61.07919028,88.44270656,76.95978855
1.650101,0.5395508,0.2575684,0.7722168,-0.253890767,0.366190029,-0.693318401,37.4955004,4.589329264,18.06423223,0.01099557,-0.03604105,0.004276057,1.148357699,4.397965122,-0.659694878,-3.420433536,49.59626827,-66.69848114
1.700104,0.5266113,0.2575684,0.7766113,-0.258774474,0,0.087884727,-0.097668279,-7.32336117,15.62312517,0.03298672,0.131336,-0.0280998,0.439796612,3.34734016,-0.647478291,-14.1703715,-21.01123858,0.244317081
1.750107,0.5981445,0.2580566,0.7736816,1.430578165,0.009763414,-0.058590485,33.78502568,0.195256569,-2.92932847,0.01832596,-0.1117883,0.0140499,-0.293197608,-4.862194268,0.842943423,-14.65900487,-164.1808377,29.8066459
1.80011,0.5314941,0.2524414,0.7626953,-1.332928024,-0.112297262,-0.219712817,-55.26680778,-2.441067063,-3.222253318,0.02932153,-0.08796459,-0.01343904,0.219898206,0.476445613,-0.549745815,10.26130061,106.7663916,-27.85211365
1.850113,0.6013184,0.2519531,0.7924805,1.396402216,-0.009765414,0.59566826,54.5833298,2.050513931,16.30664314,0.0299324,-0.158825,-0.03543019,0.012216667,-1.417123173,-0.439796612,-4.153381579,-37.86910357,2.19885213
1.900116,0.5446777,0.2651367,0.7692871,-1.132746035,0.263656181,-0.46384017,-50.57993023,5.468103808,-21.18889726,0.02565634,-0.09040806,0.01954769,-0.085516069,1.368256705,1.099491631,-1.954537448,55.70425529,30.78391782
1.950119,0.6149902,0.2590332,0.7854004,1.40616563,-0.122062676,0.322246665,50.77518679,-7.713914303,15.72079345,0.01832596,-0.08674286,0.04581489,-0.146598804,0.073299602,0.525312481,-1.221581406,-25.8975882,-11.48289401
2.000122,0.5375977,0.255127,0.7646484,-1.547757135,-0.078119313,-0.415015099,-59.0749108,0.878814539,-14.74435062,0.02504547,0.01649336,0.06475171,0.134382137,2.064600524,0.378713677,5.619281666,39.82362902,-2.931800173
2.050125,0.640625,0.2685547,0.7712402,2.060422375,0.268537888,0.13182809,72.15926063,6.932728048,10.93620762,0.02443461,0.0299324,0.05864307,-0.012216467,0.268764674,-0.12216547,-2.931796174,-35.91456212,-10.01698193
2.100128,0.564209,0.253418,0.7685547,-1.528228306,-0.302715837,-0.053706778,-71.7687075,-11.42438903,-3.71047473,0.00122173,-0.1264491,0.07574729,-0.464229746,-3.127442353,0.342063876,-9.039723201,-67.92006535,9.284029883
2.150131,0.6115723,0.2509766,0.777832,0.947209167,-0.04882507,0.185534868,49.50577913,5.07751068,4.784545837,-0.01160644,-0.1240056,0.05558874,-0.256548007,0.048867068,-0.403146811,4.153385579,63.52237709,-14.90331955
2.200134,0.5473633,0.2524414,0.7634277,-1.284102954,0.029294242,-0.288068716,-44.62356501,1.562292519,-9.471503385,-0.003054326,-0.02687807,0.05314527,0.171032018,1.942434054,-0.048866468,8.551087439,37.86906758,7.085181753
2.250137,0.4116211,0.3342285,0.7922363,-2.714681119,1.635643861,0.576137432,-28.60984672,32.12506488,17.28308597,0.2590069,0.4691445,-0.2651155,5.240910065,9.919856209,-6.36483351,101.3914775,159.5388708,-126.3117621
2.30014,1.084473,0.09863281,0.6616211,13.45623063,-4.711631102,-2.612147271,323.398831,-126.937883,-63.76186835,-0.140499,-0.2803871,0.2278527,-7.989638622,-14.98973262,9.858772474,-264.595098,-498.1618868,324.4526525
2.350143,0.3874511,0.2624512,0.7561035,-13.93960162,3.27617123,1.889534628,-547.883772,159.7464618,90.02823629,0.02626721,0.06719518,-0.1209513,3.335124093,6.951228526,-6.97566146,226.4816654,438.7928953,-336.6684786
2.400146,0.4709472,0.2670898,0.795166,1.669821811,0.092766434,0.781203128,312.1697385,-63.66427606,-22.16530008,0.158825,0.9560041,-0.02015855,2.65099674,17.77511189,2.015734056,-13.68172614,216.4646795,179.8171213
2.45015,0.6887207,0.2404785,0.8339843,4.35512159,-0.532183425,0.776303896,53.70169946,-12.49799735,-0.097976804,0.07269296,0.1954769,0.06963864,-1.722503,-15.20932725,1.795800136,-87.46299776,-659.6360121,-4.398326533
2.500153,0.5358887,0.2478027,0.8205566,-3.056456613,0.146475211,-0.268537888,-148.2226707,13.57235839,-20.89558193,-0.0421497,-0.5626069,0.06780604,-2.296715397,-15.16076635,-0.036649801,-11.48355893,0.971159726,-36.64679993
2.550156,0.519043,0.244873,0.8029785,-0.336893786,-0.058590485,-0.351540908,54.38799325,-4.101067857,-1.659960799,-0.04886922,-0.5943719,-0.09773844,-0.134382337,-0.635261884,-3.310690959,43.24406656,290.4926598,-65.47689454
2.600159,0.5710449,0.2617188,0.7973633,1.039975601,0.336895786,-0.112297262,27.53573561,7.909250861,4.784585832,-0.009773844,-0.3500258,-0.09285152,0.781860608,4.886628802,0.097732536,18.32375948,110.4311879,68.16438003
2.650162,0.5512695,0.2595215,0.815918,-0.395484271,-0.043943363,0.371071736,-28.707475,-7.616326013,9.666799949,-0.006108652,0.1081231,0.1014036,0.073299442,9.162428254,3.884869308,-14.1703731,85.51085839,75.73819114
2.700165,0.5727539,0.2397461,0.807373,0.42966222,-0.395484271,-0.170889747,16.50193971,-7.030396327,-10.83857933,-0.04276057,0.06658431,0.05742133,-0.73299438,-0.830725956,-0.879592624,-16.12490895,-199.8510931,-95.28352163
2.750168,0.4936523,0.2519531,0.7641602,-1.581937084,0.244125352,-0.864204148,-40.22957231,12.79142498,-13.8654561,-0.06352998,0.06963864,0.06352998,-0.415363278,0.061082935,0.12216567,6.352240908,17.83510772,20.03396385
2.800171,0.598877,0.2453613,0.7907715,2.104367738,-0.13182809,0.532194068,73.72167313,-7.518617739,27.92628874,-0.05742133,0.03909538,0.08552113,0.12216567,-0.61082855,0.439796612,10.74993397,-13.43742346,6.352237709
2.850174,0.5512695,0.2246094,0.7739258,-0.952092874,-0.415013099,-0.336893786,-61.12554471,-5.663360376,-17.38071425,-0.06352998,-0.1960877,0.03115413,-0.12216567,-4.703379397,-1.087274764,-4.886333622,-81.84610617,-30.53959514
2.900177,0.5112305,0.2475586,0.7729492,-0.800731956,0.458956463,-0.019530828,3.027036745,17.47834254,6.346878352,-0.03848451,-0.1117883,-0.02626721,0.500879347,1.685886847,-1.148357899,12.46015274,127.7776582,-1.221589405
2.95018,0.5541992,0.2404785,0.784668,0.859322441,-0.141593504,0.234361938,33.19909599,-12.01027872,5.077550676,0.004276057,0.03604105,-0.07696902,0.85516003,2.956409615,-1.013975361,7.085188552,25.40893084,2.687489492
3.000183,0.5725098,0.2358398,0.7783203,0.366190029,-0.092768434,-0.126946383,-9.862056518,0.976442823,-7.225732886,-0.00122173,0.08246681,-0.04764749,-0.109949143,0.928459492,0.586395416,-19.30102541,-40.55656907,32.00549523
3.050186,0.5615234,0.2380371,0.7814941,-0.219714817,0.043943363,0.063472192,-11.71739387,2.734071902,3.808143009,-0.008552114,0.02260201,-0.0122173,-0.146598884,-1.197224167,0.708561286,-0.732950843,-42.51112251,2.443170811
3.100189,0.5412598,0.2497559,0.7817383,-0.405247685,0.234361938,0.004883707,-3.710434734,3.808143009,-1.171699392,0.007941248,0.06291912,-0.003054326,0.329847449,0.806293822,0.183248485,9.528354963,40.0679557,-10.50562569
3.150192,0.5634766,0.2358398,0.7788086,0.444309341,-0.278305302,-0.058590485,16.99012112,-10.25272964,-1.269407667,-0.000610865,-0.01038471,-0.01282817,-0.171032002,-1.465988641,-0.195465152,-10.01698801,-45.44292269,-7.573818315
3.200195,0.5380859,0.2539063,0.7958984,-0.507783533,0.361308322,0.341775493,-19.04071505,12.79150497,8.00683915,0.004886922,-0.01343904,-0.03237586,0.109949147,-0.061082935,-0.390930344,5.619285825,28.09642833,-3.909069298
3.250198,0.5817871,0.2431641,0.7912598,0.873971562,-0.21483111,-0.092766434,27.63344389,-11.52209731,-8.690317131,-0.007330383,-0.04581489,-0.01343904,-0.24433144,-0.647478151,0.378713677,-7.085186632,-11.72720069,15.39195691
3.300201,0.5490723,0.244873,0.782959,-0.654256745,0.034175949,-0.16600604,-30.56273236,4.979842401,-1.46470423,-0.004886922,-0.008552114,-0.01038471,0.048866288,0.745210807,0.061082935,5.863602747,27.85210805,-6.352233709
3.350204,0.5722656,0.2468262,0.7895508,0.46383817,0.039061656,0.13182809,22.36055665,0.097708275,5.95632522,0.01160644,0.06108652,-0.004276057,0.329847449,1.392689119,0.12216573,5.619286065,12.9487893,1.221582606
3.400208,0.560791,0.2373047,0.7954102,-0.229473642,-0.190414767,0.117178626,-13.86512703,-4.589161329,-0.292965855,0.001832596,-0.03726278,0.01710423,-0.195461243,-1.966828654,0.427571534,-10.50533342,-67.18498065,6.107627474
3.450211,0.5380859,0.2490234,0.769043,-0.454074756,0.234359938,-0.527312361,-4.491752763,8.494984405,-12.8890464,0.04581489,0.1453859,0.008552114,0.879593104,3.652754435,-0.171032058,21.49979696,112.3849187,-11.97135357
3.500214,0.5698242,0.2312012,0.795166,0.634727916,-0.356422615,0.522428654,21.77474695,-11.81494216,20.9935607,0.03481932,-0.001832596,0.004886922,-0.219898206,-2.944193268,-0.073299442,-21.9885069,-131.9310382,1.954535049
3.550217,0.5432129,0.2436523,0.7819824,-0.532194068,0.24900706,-0.263656181,-23.33703947,12.10786701,-15.72075345,0.05558874,0.01527163,0.0140499,0.415363478,0.342063996,0.183248565,12.70447142,65.72120202,5.130652303
3.60022,0.560791,0.2468262,0.8022461,0.351540908,0.063474192,0.405249685,17.6736391,-3.710434734,13.37731467,0.05009095,-0.08796459,0.003665192,-0.109949203,-2.064600524,-0.207681699,-10.50562329,-48.13040258,-7.818136196
3.650223,0.5351563,0.2421875,0.7932129,-0.51266324,-0.092768434,-0.180653161,-17.28304597,-3.124665029,-11.71735388,0.07880162,0.05742133,0.01954769,0.574178949,2.907543947,0.317630902,13.68174214,99.43692321,10.50562169
3.700226,0.5551758,0.2565918,0.7766113,0.400365978,0.288068716,-0.332012079,18.2594888,7.616286018,-3.026996749,0.09224065,0.06352998,0.01282817,0.268764474,0.12216567,-0.134382337,-6.107923027,-55.70422329,-9.039722401
