time,x,y,z,phi,theta,psi
0,0.09765625,0.9895019,-0.1574707,-0.03176499,-0.003054326,-0.03420845
0.05004883,0.1118164,0.984375,-0.1750488,0.0158825,-0.0158825,-0.01954769
0.1000977,0.105957,0.9787597,-0.1765137,0.04031711,-0.04886922,-0.02565634
0.1501465,0.104248,0.9667969,-0.1711426,0.01771509,-0.04153884,-0.03970624
0.2001953,0.08911133,0.9611816,-0.1750488,0.01099557,-0.0561996,-0.02260201
0.2502441,0.05908203,0.9719238,-0.1677246,0.03176499,-0.09346239,0.01771509
0.300293,0.06958008,0.9821777,-0.1706543,-0.01771509,0.008552114,0.005497787
0.3503418,0.08081055,0.9790039,-0.1813965,-0.01710423,0.03787364,-0.003054326
0.4003906,0.09545898,0.9680176,-0.1872559,-0.02138028,0.02748894,-0.002443461
0.4504395,0.08886719,0.9682617,-0.1860352,-0.01282817,-0.003054326,-0.004886922
0.5004883,0.09106445,0.9238281,-0.1862793,-0.0006108652,-0.0158825,0.02382374
0.5505371,0.08056641,0.9174805,-0.1743164,-0.003054326,-0.0006108652,0.03726278
0.6005859,0.0715332,0.9345703,-0.1755371,-0.02382374,0.03909538,0.06108652
0.6506348,0.09643555,0.8925781,-0.1899414,0.00122173,0.08552113,0.07330383
0.7006836,0.1005859,0.8979492,-0.1584473,-0.02565634,0.06475171,0.1105666
0.7507324,0.09301758,0.9033203,-0.1599121,-0.03176499,0.07086037,0.1392773
0.8007813,0.1088867,0.9250488,-0.1542969,-0.0842994,0.1337795,0.1600467
0.8508301,0.1000977,0.9780273,-0.1672363,-0.09896017,0.1930334,0.1698205
0.9008789,0.161377,0.9702148,-0.1647949,-0.0720821,0.2419026,0.1435533
0.9509277,0.1782227,0.9882813,-0.1296387,-0.07941248,0.1747075,0.1453859
1.000977,0.1738281,0.984375,-0.1328125,-0.05925393,0.1502728,0.131336
1.051025,0.151123,1.013428,-0.1164551,-0.07941248,0.1398881,0.1276708
1.101074,0.1884766,1.015869,-0.1564941,-0.05070182,0.1337795,0.06719518
1.151123,0.1679688,1.015625,-0.135498,-0.0158825,0.04520403,0.02015855
1.201172,0.1330566,1.047607,-0.1010742,-0.07941248,0.2193006,0.02748894
1.251221,0.1679688,1.028809,-0.1315918,-0.08857546,0.2406809,-0.08491027
1.30127,0.1584473,1.057861,-0.1401367,-0.1398881,0.3316998,-0.04337143
1.351318,0.1940918,1.055664,-0.190918,-0.03176499,0.117897,-0.1062905
1.401367,0.1821289,1.03833,-0.1345215,0.04092797,-0.1026254,-0.1740966
1.451416,0.1677246,1.030273,-0.1223145,0.08552113,-0.1343904,-0.1185079
1.501465,0.1286621,0.9941406,-0.1298828,0.1209513,-0.1863139,-0.1032362
1.551514,0.1264648,0.9545899,-0.1396484,0.03848451,0.004276057,-0.06719518
1.601563,0.1357422,0.9848633,-0.1542969,0.1056797,-0.07024951,-0.05436701
1.651611,0.1223145,0.9570313,-0.1452637,0.03970624,-0.02504547,-0.05314527
1.70166,0.1386719,0.9575196,-0.1503906,0.06841691,-0.07880162,-0.005497787
1.751709,0.1066895,0.9367676,-0.1352539,-0.02504547,-0.009773844,0.01160644
1.801758,0.1184082,0.9785156,-0.1633301,-0.01038471,0.01343904,0.02687807
1.851807,0.1418457,1.007568,-0.1599121,-0.06108652,0.05742133,0.02138028
1.901855,0.1501465,0.9978027,-0.168457,-0.01038471,-0.0122173,0.0158825
1.951904,0.1193848,1.003174,-0.1555176,0,-0.07574729,0.01893682
2.001953,0.107666,1.002686,-0.1630859,0.007941248,-0.04337143,-0.003054326
2.052002,0.1154785,0.9941406,-0.1564941,0.02015855,-0.07147124,-0.0158825
2.102051,0.1203613,1.001953,-0.1691895,0.04886922,-0.02260201,-0.04153884
2.1521,0.1235352,0.9919433,-0.1520996,0.05253441,-0.09590584,-0.07086037
2.202148,0.08422852,0.9870605,-0.1560059,0.008552114,0.05375614,-0.01649336
2.252197,0.1081543,0.9658203,-0.1726074,0.06169739,-0.001832596,-0.05497787
2.302246,0.1174316,0.9536133,-0.1484375,0.01038471,0.007941248,-0.04031711
2.352295,0.1020508,0.9799805,-0.1533203,0.006108652,0.05070182,-0.05131268
